#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Prefixes,"Which prefix means ""across""?",Trans-,Inter-,Sub-,Anti-,1
2,Suffixes,Which adjective comes from courage?,Courageous,Couragous,Courageius,Couragouss,1
3,Word Families,Which noun comes from explain?,Explanation,Explaination,Explination,Explainashun,1
4,Silent Letters,Pick the correct spelling.,Knowledge,Knowlege,Nolledge,Knowlidge,1
5,Homophones,"Which word means ""allowed""?",Allowed,Aloud,Alloud,Alowed,1
6,Apostrophes,Which shows one person's opinion?,Person's,Persons,Persons',Persons's,1
7,Endings,Which spelling is correct?,Transferring,Transfering,Transferrring,Transferring,1
8,Prefixes,"Which word means ""under the ground""?",Subterranean,Subterrainian,Subteranian,Subterranian,1
9,Suffixes,Which adjective comes from disaster?,Disastrous,Disasterous,Disastorous,Disastarus,1
10,Word Families,Which noun comes from permit?,Permission,Permision,Permisson,Permishon,1
11,Homophones,"Which word means ""correct""?",Right,Write,Rite,Writee,1
12,Silent Letters,Pick the correct spelling.,Thorough,Thorough,Thurough,Thorogh,1
13,Endings,Which spelling is correct?,Occurrence,Occurence,Ocurrence,Occurrance,1
14,Prefixes,"Which word means ""working together""?",Cooperation,Co-operation,Coperation,Cooperration,1
15,Exception Words,Pick the correct spelling.,Conscience,Consciense,Conshience,Conscince,1
16,Suffixes,Which adjective comes from ambition?,Ambitious,Ambishous,Ambitious,Ambitiuos,1
