#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Numbers,"What is 3,482 + 1,759?","5,241","5,231","5,141","5,251",1
2,Numbers,"What is 6,000 − 2,485?","3,515","3,615","3,505","3,415",1
3,Numbers,What is 24 × 6?,144,124,164,134,1
4,Numbers,What is 180 ÷ 12?,15,12,18,16,1
5,Numbers,Which number is prime?,29,21,27,35,1
6,Numbers,Which number is a multiple of 9?,63,65,67,61,1
7,Numbers,What is 2.4 + 1.7?,4.1,3.9,4,4.2,1
8,Numbers,What is 5.8 − 2.3?,3.5,3.3,3.7,3.6,1
9,Numbers,Which fraction is equivalent to 3/5?,6/10,5/10,9/10,3/10,1
10,Numbers,What is 25% of 40?,10,5,15,20,1
11,Numbers,"Complete the pattern: 120, 240, 480, __",960,720,840,900,1
12,Numbers,"Round 18,462 to the nearest 1,000.","18,000","19,000","18,500","17,000",1
13,Numbers,Find the missing number: □ × 8 = 96,12,14,10,16,1
14,Numbers,Which is greater?,0.75,0.57,0.67,0.7,1
15,Numbers,What is 7/8 of 24?,21,18,20,16,1
16,Numbers,What is the factor pair of 36?,4 and 9,5 and 8,3 and 11,7 and 6,1
