#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Earth & Space,What is at the centre of our Solar System?,The Sun,Earth,The Moon,Jupiter,1
2,Earth & Space,What is the Earth?,A planet,A star,A moon,A comet,1
3,Earth & Space,What is the Moon?,Earth's natural satellite,A planet,A star,An asteroid,1
4,Earth & Space,What causes day and night?,Earth's rotation,The Moon's rotation,Earth's orbit,The Sun's movement,1
5,Earth & Space,How long does Earth take to rotate once?,24 hours,7 days,30 days,365 days,1
6,Earth & Space,How long does Earth take to orbit the Sun?,365 days,24 hours,30 days,12 hours,1
7,Earth & Space,What causes a year on Earth?,Earth orbits the Sun.,Earth spins once.,The Moon orbits Earth.,The Sun orbits Earth.,1
8,Earth & Space,Which object orbits Earth?,The Moon,Mars,Venus,The Sun,1
9,Earth & Space,Why does the Moon appear to change shape?,We see different parts lit by the Sun.,The Moon changes size.,Clouds cover it.,It spins faster.,1
10,Earth & Space,Which planet is known as the Red Planet?,Mars,Venus,Saturn,Mercury,1
11,Earth & Space,Which planet is the largest in our Solar System?,Jupiter,Earth,Mars,Venus,1
12,Earth & Space,Which planet do we live on?,Earth,Mars,Mercury,Neptune,1
13,Earth & Space,Which star is closest to Earth?,The Sun,Sirius,Polaris,Alpha Centauri,1
14,Earth & Space,What causes a shadow?,Light being blocked,Wind,Gravity,Rain,1
15,Earth & Space,Why does the Sun appear to move across the sky?,Earth is rotating.,The Sun orbits Earth.,The Moon moves the Sun.,Clouds move it.,1
16,Earth & Space,Which planet is famous for its rings?,Saturn,Mars,Venus,Mercury,1
