#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Reasoning,Four books cost £8 each. What is the total cost?,£32,£24,£28,£36,1
2,Reasoning,A train leaves at 2:35 p.m. and arrives 50 minutes later. When does it arrive?,3:25 p.m.,3:15 p.m.,3:35 p.m.,3:20 p.m.,1
3,Reasoning,A farmer has 96 eggs. He packs 12 in each box. How many boxes does he fill?,8,6,7,9,1
4,Reasoning,Mia saves £15 each week for 4 weeks. How much does she save?,£60,£45,£50,£75,1
5,Reasoning,"Which number completes the pattern? 180, 160, 140, __",120,130,110,100,1
6,Reasoning,A ribbon is 2 m long. Half is used. How much remains?,1 m,50 cm,1.5 m,2 m,1
7,Reasoning,A class has 32 pupils. One-quarter wear glasses. How many wear glasses?,8,6,10,12,1
8,Reasoning,Sam buys a toy for £18 and a game for £24. How much does he spend?,£42,£40,£44,£46,1
9,Reasoning,A jug holds 1 litre. It contains 600 ml. How much more will fill it?,400 ml,300 ml,500 ml,200 ml,1
10,Reasoning,"A bus has 54 passengers. At the next stop, 19 get off. How many remain?",35,34,36,37,1
11,Reasoning,A baker makes 9 trays of 8 cakes. How many cakes are made?,72,64,81,68,1
12,Reasoning,"Which number is closest to 1,000?",998,990,"1,008",985,1
13,Reasoning,Tom reads 24 pages each day for 7 days. How many pages does he read?,168,148,172,156,1
14,Reasoning,A rope is 12 m long. It is cut into 3 equal pieces. How long is each piece?,4 m,3 m,6 m,5 m,1
15,Reasoning,A shop sells 125 balloons on Saturday and 175 on Sunday. How many balloons are sold?,300,290,310,325,1
16,Reasoning,There are 48 children. They stand in 6 equal rows. How many are in each row?,8,6,7,9,1
