#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Living Things,Which habitat is best for a camel?,Desert,Forest,Pond,Ocean,1
2,Living Things,Which animal lives in a pond?,Frog,Camel,Lion,Penguin,1
3,Living Things,What do plants need from the Sun?,Light,Wind,Sand,Snow,1
4,Living Things,Which part of a plant carries water?,Stem,Root,Flower,Leaf,1
5,Living Things,Which part of a plant makes new plants?,Seed,Leaf,Stem,Root,1
6,Living Things,Which animal is a carnivore?,Lion,Cow,Rabbit,Sheep,1
7,Living Things,Which animal is a herbivore?,Rabbit,Tiger,Fox,Eagle,1
8,Living Things,Which food helps keep your bones strong?,Milk,Sweets,Crisps,Fizzy drink,1
9,Living Things,Why do people exercise?,To stay healthy,To grow taller,To sleep less,To change eye colour,1
10,Living Things,Which stage comes first in a butterfly's life cycle?,Egg,Caterpillar,Chrysalis,Butterfly,1
11,Living Things,Which animal is an insect?,Ant,Frog,Bird,Fish,1
12,Living Things,"In a food chain, plants are usually what?",The first link,The last link,The middle link,Not included,1
13,Living Things,Which of these is not living?,Rock,Tree,Bird,Flower,1
14,Living Things,Which animal breathes with gills?,Fish,Cat,Horse,Duck,1
15,Living Things,Which body part helps you taste food?,Tongue,Nose,Ear,Eye,1
16,Living Things,Which animal changes from a tadpole?,Frog,Fish,Duck,Rabbit,1
