#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Verbs,Which verb is in the past tense?,Caught,Catch,Catching,Catches,1
2,Adjectives,Which word best describes a storm?,Fierce,Storm,Crash,Loudly,1
3,Adverbs,Which word tells how she spoke?,Politely,Polite,Speaker,Speech,1
4,Conjunctions,Which word shows a reason?,Because,And,But,Or,1
5,Apostrophes,Which word shows missing letters?,Couldn't,Couldnt,Could'nt,Couldnt',1
6,Capital Letters,Which sentence is correct?,We visited London.,We visited london.,we visited London.,we visited london.,1
7,Word Order,Which sentence sounds right?,The children laughed loudly.,Laughed the children loudly.,The loudly children laughed.,Children the laughed loudly.,1
8,Tenses,Which sentence is in the present tense?,She writes neatly.,She wrote neatly.,She will write neatly.,She writing neatly.,1
9,Pronouns,"Which word replaces ""the children""?",They,He,She,It,1
10,Commas,Which sentence needs a comma?,No thanks.,We played outside.,Dad is home.,I found my bag.,1
11,Conjunctions,Which word shows a choice?,Or,Because,So,Although,1
12,Sentences,Which is a command?,Close the door.,The door is closed.,Is the door closed?,What a loud door!,1
13,Punctuation,Which sentence needs quotation marks?,Ben said hello.,The dog barked.,I like apples.,We ran home.,1
14,Grammar,Which sentence is correct?,Those apples are ripe.,Those apples is ripe.,Those apples am ripe.,Those apples was ripe.,1
15,Word Classes,Which word is a preposition?,Under,Rabbit,Hop,Soft,1
16,Grammar,Which sentence is correct?,I saw an owl.,I saw a owl.,I saw the owl an.,I saw owl.,1
