#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Geometry,How many degrees are in a full circle?,360°,180°,90°,270°,1
2,Geometry,Angles in a triangle add up to?,180°,90°,270°,360°,1
3,Geometry,What is the radius of a circle?,The distance from the centre to the edge.,The distance around the circle.,The widest part of the circle.,Half the circumference.,1
4,Geometry,What is the diameter of a circle?,A line through the centre joining two points on the circle.,The distance around the circle.,Half the radius.,A curved line.,1
5,Geometry,Which coordinate is in Quadrant III?,"(-4, -2)","(4, 2)","(-4, 2)","(4, -2)",1
6,Geometry,What is a rotation?,A turn,A slide,A flip,A stretch,1
7,Geometry,Which shape can be made from a net?,Cube,Circle,Triangle,Oval,1
8,Geometry,How many faces does a triangular prism have?,5,4,6,8,1
9,Geometry,Which angle is greater than 180°?,Reflex angle,Right angle,Acute angle,Obtuse angle,1
10,Geometry,How many edges does a cuboid have?,12,8,10,6,1
11,Geometry,Which shape has one circular face?,Cone,Cube,Sphere,Cuboid,1
12,Geometry,Which shape has two circular faces?,Cylinder,Cone,Sphere,Cube,1
13,Geometry,A shape is turned 90°. What is this called?,Rotation,Reflection,Translation,Enlargement,1
14,Geometry,Which transformation is a flip?,Reflection,Rotation,Translation,Enlargement,1
15,Geometry,Which transformation is a slide?,Translation,Reflection,Rotation,Enlargement,1
16,Geometry,What is the diameter if the radius is 8 cm?,16 cm,8 cm,24 cm,4 cm,1
