#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Physical,What force keeps us on the ground?,Gravity,Friction,Magnetism,Air resistance,1
2,Physical,What slows a falling parachute?,Air resistance,Gravity,Friction,Magnetism,1
3,Physical,What slows a boat in water?,Water resistance,Gravity,Magnetism,Light,1
4,Physical,What is friction?,A force between surfaces,A type of rock,A source of light,A state of matter,1
5,Physical,Which simple machine helps lift heavy objects?,Pulley,Magnet,Battery,Compass,1
6,Physical,Which material dissolves in water?,Sugar,Sand,Gravel,Plastic,1
7,Physical,What is a solution?,A dissolved mixture,A solid rock,A type of force,A gas,1
8,Physical,Which method separates sand from water?,Filtration,Freezing,Melting,Evaporation,1
9,Physical,Which method separates salt from water?,Evaporation,Filtration,Sieving,Magnetism,1
10,Physical,What happens when chocolate melts?,It changes state.,It burns.,It dissolves.,It freezes.,1
11,Physical,Which change cannot be easily reversed?,Burning wood,Melting ice,Freezing water,Dissolving sugar,1
12,Physical,Which force acts between magnets?,Magnetic force,Gravity,Friction,Air resistance,1
13,Physical,What happens when water freezes?,It becomes a solid.,It becomes a gas.,It disappears.,It becomes a liquid.,1
14,Physical,Which material is a good electrical conductor?,Copper,Rubber,Plastic,Wood,1
15,Physical,Which material is an electrical insulator?,Rubber,Copper,Aluminium,Steel,1
16,Physical,Which force makes objects roll downhill?,Gravity,Friction,Air resistance,Magnetism,1
