#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Vocabulary,Which means meticulous?,Very careful,Very noisy,Very brave,Very lucky,1
2,Vocabulary in Context,His reply was reluctant.,Unwilling,Cheerful,Confident,Immediate,1
3,Inference,Mia folded the letter before smiling. Why?,It brought good news.,It was blank.,It was a receipt.,It was homework.,1
4,Author's Purpose,Why write a newspaper report?,To inform,To entertain,To persuade,To advertise,1
5,Author's Choice,Why use dialogue in a story?,Reveal characters,Explain facts,List events,Give instructions,1
6,Vocabulary,Which means justify?,Give a reason,Make a guess,Tell a joke,Ask a question,1
7,Fact or Opinion,Which is an opinion?,Reading is the best hobby.,The Earth has one moon.,Ice melts in heat.,Bees make honey.,1
8,Inference,Ben checked every answer twice. Why?,He wanted accuracy.,He was bored.,He was cold.,He was waiting.,1
9,Vocabulary in Context,The room was deserted.,Empty,Crowded,Bright,Noisy,1
10,Summarising,A girl overcomes fear to rescue a dog.,Courage over fear,Looking for pets,A rainy afternoon,Walking to school,1
11,Theme,What is the theme? The team trusted each other and won.,Teamwork,Luck,Competition,Adventure,1
12,Prediction,The bridge creaked with every step. What next?,They cross carefully.,They start singing.,They stop for lunch.,They build a house.,1
13,Vocabulary,Which means contrast?,Show differences,Show similarities,Give reasons,Tell a story,1
14,Inference,Ava paused before answering. Why?,She was thinking.,She was asleep.,She forgot to speak.,She was leaving.,1
15,Author's Purpose,Why include a conclusion?,Sum up ideas,Introduce characters,Ask questions,Add dialogue,1
16,Evaluation,Which is the strongest evidence?,A measured result,A personal guess,A rumour,An opinion,1
